  16.108     RX 54  ECHO 'T'
  16.114     RX 20  ECHO ' '
  16.119     RX 54  ECHO 'T'
  16.126     RX 45  ECHO 'E'
  16.134     RX 53  ECHO 'S'
  16.138     RX 54  ECHO 'T'
  16.152     RX 20  ECHO ' '
  16.168     RX 54  ECHO 'T'
  16.169     RX 45  ECHO 'E'
  16.180     RX 53  ECHO 'S'
  16.186     RX 54  ECHO 'T'
  16.193     RX 20  ECHO ' '
  16.194     RX 54  ECHO 'T'
  16.200     RX 45  ECHO 'E'
  16.204     RX 53  ECHO 'S'
  16.215     RX 54  ECHO 'T'
  16.220     RX 20  ECHO ' '
  16.225     RX 54  ECHO 'T'
  16.238     RX 45  ECHO 'E'
  16.275     RX 53  ECHO 'S'
  16.287     RX 54  ECHO 'T'
  16.294     RX 20  ECHO ' '
  16.301     RX 54  ECHO 'T'
  16.307     RX 45  ECHO 'E'
  16.314     RX 53  ECHO 'S'
  16.324     RX 54  ECHO 'T'
  16.326     RX 20  ECHO ' '
  16.336     RX 54  ECHO 'T'
  16.346     RX 45  ECHO 'E'
  16.346     RX 53  ECHO 'S'
  16.348     RX 54  ECHO 'T'
  16.379     RX 20  ECHO ' '
  16.383     RX 54  ECHO 'T'
  16.392     RX 45  ECHO 'E'
  16.393     RX 53  ECHO 'S'
  16.406     RX 54  ECHO 'T'
  16.412     RX 20  ECHO ' '
  16.414     RX 54  ECHO 'T'
  16.420     RX 45  ECHO 'E'
  16.434     RX 53  ECHO 'S'
  16.481     RX 54  ECHO 'T'
  16.580     RX 20  ECHO ' '
  16.591     RX 54  ECHO 'T'
  16.594     RX 45  ECHO 'E'
  16.644     RX 53  ECHO 'S'
  16.646     RX 54  ECHO 'T'
  18.167  TX 15   # status buffer loaded
  18.167  -- watch 0.6s: 
  18.178     RX c4  STATUS 11000100 (low5=00100)
  18.772  TX 0a   # clear buffer
  18.772  -- watch 2.0s: after clear
  18.858     RX c0  STATUS 11000000 (low5=00000)
  18.876     RX c4  STATUS 11000100 (low5=00100)
  19.881     RX c0  STATUS 11000000 (low5=00000)
  20.777  TX 15   # status after clear
  20.778  -- watch 0.6s: 
  20.795     RX c0  STATUS 11000000 (low5=00000)
  21.380  TX 00 03   # host close
  21.380  -- watch 1.0s: 
  22.384  closed
